employee_id,full_name,age,gender,email,phone,city,country,department,job_title,employment_type,education_level,join_date,years_of_experience,annual_salary,bonus_percentage,performance_rating,nps_score,projects_completed,training_hours,remote_work,last_promotion_year,manager_id,team_size,monthly_leaves_taken,attrition_risk,salary_currency,linkedin_profile,contract_end_date
EMP3387,Neha Patel,37.0,Non-binary,neha.patel@company.in,-7545786564,Mumbai,India,Marketing,SEO Specialist,Contract,Master's,17-09-2016,7,1295098.0,39.75,Average,0.0,36,129.42,Yes,2024.0,EMP1010,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",1.2,High,AUD,linkedin.com/in/nehapatel373,08-10-2026
EMP2682,Ava Reddy,25.0,Prefer not to say,ava.reddy@yahoo.com,(957) 427-1356,Sydney,Australia,Product,Senior PM,Permanent,High School,08-28-2018,5,1430387.0,13.08,Outstanding,5.0,26,62.98,No,2017.0,EMP2233,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",0.9,Medium,CAD,linkedin.com/in/avareddy878,Permenent
EMP1964,Aarav Moore,51.0,Prefer not to say,aarav.moore@gmail.com,Not Available,Kolkata,India,Product,Group PM,Permanent,Associate,25-Sep-15,8,1889444.0,20.25,Average,7.0,21,175.35,No,2023.0,EMP1532,"<bound method Series.median of 1      NaN
2      NaN
10     NaN
21     NaN
33     NaN
        ..
1984   NaN
2008   NaN
2024   NaN
2038   NaN
2039   NaN
Name: Product, Length: 179, dtype: float64>",1.6,High,USD,linkedin.com/in/aaravmoore847,Permenent
EMP1915,Amelia Bose,45.0,Prefer not to say,amelia.bose@hotmail.com,-7968601888,Bangalore,India,Engineering,Engineering Manager,Contract,PhD,27-12-2011,12,1723986.0,31.77,Good,2.0,-1,166.99,Yes,2022.0,EMP1772,"<bound method Series.median of 3      NaN
19     NaN
22     NaN
40     NaN
50     NaN
        ..
2015   NaN
2017   NaN
2020   NaN
2031   NaN
2036   NaN
Name: Engineering, Length: 231, dtype: float64>",1.7,High,CAD,linkedin.com/in/ameliabose880,27-03-2025
EMP1851,Divya Singh,22.0,Male,divya.singh@hotmail.com,9.17522E+11,Delhi,India,Finance,Finance Manager,Permanent,Associate,31-01-2021,2,1190936.0,4.69,Below Average,5.0,10,2.03,Yes,2011.0,EMP1518,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",0.5,High,CAD,linkedin.com/in/divyasingh970,Permenent
EMP3840,Nisha Johnson,393.0,Male,nisha.johnson@corp.com,-9594223601,Mumbai,India,Finance,Senior Analyst,Permanent,BE/BTech,18-Dec-20,3,980572.0,5.94,Below Average,10.0,-1,98.39,Yes,2013.0,EMP3748,"<bound method Series.median of 4      NaN
5      NaN
16     NaN
18     NaN
25     NaN
        ..
1985   NaN
1994   NaN
2009   NaN
2016   NaN
2037   NaN
Name: Finance, Length: 194, dtype: float64>",2.3,High,USD,linkedin.com/in/nishajohnson252,Permenent
EMP1815,Rajesh Miller,57.0,Prefer not to say,rajesh.miller@gmail.com,(232) 622-2191,Singapore,Singapore,Customer support,Team Lead,Permanent,Associate,08-20-2023,0,777712.0,23.32,Excellent,2.0,30,94.86,No,2017.0,EMP2166,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",1.3,Medium,USD,linkedin.com/in/rajeshmiller864,Permenent
EMP3677,Rahul Verma,35.0,Non-binary,rahul.verma@yahoo.com,9359871900,Pune,India,Hr,HR Executive,Contract,MCA,26-05-2018,5,474005.0,11.88,Good,60.0,22,124.79,Yes,2018.0,EMP3938,"<bound method Series.median of 7      NaN
28     NaN
31     NaN
32     NaN
35     NaN
        ..
1988   NaN
1998   NaN
2001   NaN
2023   NaN
2033   NaN
Name: Hr, Length: 210, dtype: float64>",2.4,Low,CAD,linkedin.com/in/rahulverma151,27-06-2025
EMP2852,Unknown_employee,22.0,Female,priya.chopra@company.in,(840) 871-6982,Hyderabad,India,Marketing,Marketing Manager,Permanent,Master's,21-12-2021,2,784949.0,3.42,Below Average,5.0,50,89.07,No,2010.0,EMP2811,"<bound method Series.median of 0      NaN
8      NaN
26     NaN
34     NaN
41     NaN
        ..
1976   NaN
1980   NaN
2012   NaN
2029   NaN
2032   NaN
Name: Marketing, Length: 203, dtype: float64>",1.3,Medium,INR,linkedin.com/in/priyachopra882,Permenent
EMP3728,William Singh,27.0,Prefer not to say,william.singh@gmail.com,-7246602054,San Francisco,USA,Customer support,Team Lead,Contract,MCA,11-01-2010,13,734343.0,12.99,Below Average,2.0,2,40.56,Yes,2019.0,EMP3189,"<bound method Series.median of 6      NaN
9      NaN
17     NaN
20     NaN
39     NaN
        ..
1997   NaN
1999   NaN
2011   NaN
2018   NaN
2022   NaN
Name: Customer support, Length: 198, dtype: float64>",3.4,Medium,USD,Not Available,13-07-2024
