"user_id","username","email","password","registration_date"
1,Riyan,Riyan@gmail.com,password123,"2022-01-10"
2,Sanjay,Sanjay@yahoo.com,password456,"2022-02-15"
3,Amit,Amit@gmail.com,password789,"2022-03-20"
4,Sheetal,Sheetal@yahoo.com,password12,"2022-04-25"
5,Maahir,Maahir@gmail.com,password34,"2022-05-30"
6,Prayan,Prayan@gmail.com,password56,"2022-06-05"
7,Samarth,Samarth@yahoo.com,password78,"2022-07-10"
8,Briti,Briti@yahoo.com,password90,"2022-08-15"
9,Aabheri,Aabheri@gmail.com,password123,"2022-09-20"
10,Anvika,Anvika@yahoo.com,password12,"2022-10-25"
