employee_id,full_name,age,gender,email,phone,city,country,department,job_title,employment_type,education_level,join_date,exit_date,years_of_experience,annual_salary,bonus_percentage,performance_rating,nps_score,projects_completed,training_hours,remote_work,last_promotion_year,manager_id,team_size,monthly_leaves_taken,attrition_risk,salary_currency,linkedin_profile,contract_end_date
EMP3387,Neha Patel,37,Non-Binary,neha.patel@company.in,-7545786564,Mumbai,India,Marketing,SEO Specialist,Part-Time,Master's,17-09-2016,,7,1295098,39.75,Average,0,36,129.42,TRUE,2024,EMP1010,14,1.2,High,AUD,linkedin.com/in/nehapatel373,08-10-2026
EMP2682,Ava Reddy,25,Prefer not to say,ava.reddy@yahoo.com,(957) 427-1356,Sydney,Australia,Product,Senior PM,Part-Time,High School,08-28-2018,,5,1430387,13.08,Outstanding,,26,62.98,FALSE,,EMP2233,12,0.9,Medium,CAD,linkedin.com/in/avareddy878,
EMP1964,Aarav Moore,51,Prefer not to say,aarav.moore@gmail.com,,Kolkata,India,Product,Group PM,Full-Time,Associate,25-Sep-15,,8,1889444,20.25,Average,7,21,175.35,FALSE,2023,EMP1532,14,1.6,High,USD,linkedin.com/in/aaravmoore847,
EMP1915,Amelia Bose,45,Prefer not to say,amelia.bose@hotmail.com,-7968601888,Bangalore,India,Engineering,Engineering Manager,Contract,PhD,27-12-2011,,12,1723986,31.77,Good,2,-1,166.99,TRUE,2022,EMP1772,1,1.7,High,CAD,linkedin.com/in/ameliabose880,27-03-2025
EMP1851,Divya Singh,22,M,divya.singh@hotmail.com,9.17522E+11,Delhi,India,Finance,Finance Manager,Contract,Associate,31-01-2021,,2,"â‚¹1,159,623",4.69,Below Average,5,10,2.03,TRUE,2011,EMP1518,16,0.5,High,CAD,linkedin.com/in/divyasingh970,
EMP3840,Nisha Johnson,393,Male,nisha.johnson@corp.com,-9594223601,Mumbai,India,Finance,Senior Analyst,Part-Time,BE/BTech,18-Dec-20,,3,980572,5.94,Below Average,10,-1,98.39,TRUE,2013,EMP3748,4,2.3,High,USD,linkedin.com/in/nishajohnson252,
EMP1815,Rajesh Miller,57,Prefer not to say,rajesh.miller@gmail.com,(232) 622-2191,Singapore,Singapore,Customer Support,Team Lead,Full-Time,Associate,08-20-2023,,0,777712,,Excellent,2,30,94.86,FALSE,,EMP2166,17,1.3,Medium,USD,linkedin.com/in/rajeshmiller864,
EMP3677,Rahul Verma,35,Non-Binary,rahul.verma@yahoo.com,9359871900,Pune,India,HR,HR Executive,Intern,MCA,26-05-2018,,5,474005,11.88,Good,60,22,124.79,TRUE,,EMP3938,18,2.4,Low,CAD,linkedin.com/in/rahulverma151,27-06-2025
EMP2852,,22,Female,priya.chopra@company.in,(840) 871-6982,Hyderabad,India,Marketing,Marketing Manager,Contract,Master's,21-12-2021,,2,784949,3.42,Below Average,5,50,89.07,FALSE,2010,EMP2811,15,1.3,Medium,INR,linkedin.com/in/priyachopra882,
EMP3728,William Singh,27,Prefer not to say,william.singh@gmail.com,-7246602054,San Francisco,USA,Customer Support,Team Lead,Intern,MCA,11-01-2010,,13,734343,12.99,Below Average,2,2,40.56,TRUE,2019,EMP3189,7,3.4,Medium,USD,,13-07-2024
